# The list of all links between articles.
# Article names are URL-encoded; e.g., in Java they can be decoded using java.net.URLDecoder.decode(articleName, "UTF-8").
# FORMAT:   linkSource   linkTarget
#
# When publishing on this data set, please cite:
# (1) Robert West and Jure Leskovec:
#     Human Wayfinding in Information Networks.
#     21st International World Wide Web Conference (WWW), 2012.
# (2) Robert West, Joelle Pineau, and Doina Precup:
#     Wikispeedia: An Online Game for Inferring Semantic Distances between Concepts.
#     21st International Joint Conference on Artificial Intelligence (IJCAI), 2009.

%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Bede
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Columba
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	D%C3%A1l_Riata
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Great_Britain
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Ireland
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Isle_of_Man
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Monarchy
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Orkney
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Picts
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Scotland
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	Wales
%C3%85land	20th_century
%C3%85land	Baltic_Sea
%C3%85land	Crimean_War
%C3%85land	Currency
%C3%85land	Euro
%C3%85land	European_Union
%C3%85land	Finland
%C3%85land	League_of_Nations
%C3%85land	List_of_countries_by_system_of_government
%C3%85land	Nationality
%C3%85land	Parliamentary_system
%C3%85land	Police
%C3%85land	Russia
%C3%85land	Stockholm
%C3%85land	Sweden
%C3%85land	Time_zone
%C3%85land	Tourism
%C3%85land	United_Kingdom
%C3%85land	World_War_II
%C3%89douard_Manet	Absinthe
%C3%89douard_Manet	Beer
%C3%89douard_Manet	Claude_Monet
%C3%89douard_Manet	Diego_Vel%C3%A1zquez
%C3%89douard_Manet	Edgar_Allan_Poe
%C3%89douard_Manet	France
%C3%89douard_Manet	Francisco_Goya
%C3%89douard_Manet	Germany
%C3%89douard_Manet	Impressionism
%C3%89douard_Manet	Italy
%C3%89douard_Manet	Landscape
%C3%89douard_Manet	Netherlands
%C3%89douard_Manet	Painting
%C3%89douard_Manet	Paris
%C3%89douard_Manet	Photography
%C3%89douard_Manet	Raphael
%C3%89douard_Manet	Renaissance
%C3%89douard_Manet	Sweden
%C3%89douard_Manet	United_States_dollar
%C3%89douard_Manet	Washington%2C_D.C.
%C3%89ire	Canada
%C3%89ire	English_language
%C3%89ire	George_VI_of_the_United_Kingdom
%C3%89ire	Ireland
%C3%89ire	Northern_Ireland
%C3%89ire	Ottawa
%C3%89ire	Republic_of_Ireland
%C3%89ire	United_Kingdom
%C3%93engus_I_of_the_Picts	D%C3%A1l_Riata
%C3%93engus_I_of_the_Picts	Durham
%C3%93engus_I_of_the_Picts	England
%C3%93engus_I_of_the_Picts	Great_Britain
%C3%93engus_I_of_the_Picts	Ireland
%C3%93engus_I_of_the_Picts	Lion
%C3%93engus_I_of_the_Picts	Mercia
%C3%93engus_I_of_the_Picts	Scotland
%C3%93engus_I_of_the_Picts	Viking
%C3%93engus_I_of_the_Picts	York
%E2%82%AC2_commemorative_coins	Athens
%E2%82%AC2_commemorative_coins	Atlantic_Ocean
%E2%82%AC2_commemorative_coins	Austria
%E2%82%AC2_commemorative_coins	Belgium
%E2%82%AC2_commemorative_coins	Berlin
%E2%82%AC2_commemorative_coins	Brussels
%E2%82%AC2_commemorative_coins	Cathedral_of_Magdeburg
%E2%82%AC2_commemorative_coins	Cereal
%E2%82%AC2_commemorative_coins	Christopher_Columbus
%E2%82%AC2_commemorative_coins	Cologne
%E2%82%AC2_commemorative_coins	Comet
%E2%82%AC2_commemorative_coins	Dresden
%E2%82%AC2_commemorative_coins	European_Union
%E2%82%AC2_commemorative_coins	Finland
%E2%82%AC2_commemorative_coins	France
%E2%82%AC2_commemorative_coins	Galileo_Galilei
%E2%82%AC2_commemorative_coins	Germany
%E2%82%AC2_commemorative_coins	Greece
%E2%82%AC2_commemorative_coins	Hamburg
%E2%82%AC2_commemorative_coins	Harold_Macmillan
%E2%82%AC2_commemorative_coins	Heraldry
%E2%82%AC2_commemorative_coins	History
%E2%82%AC2_commemorative_coins	Ireland
%E2%82%AC2_commemorative_coins	Italy
%E2%82%AC2_commemorative_coins	Luxembourg
%E2%82%AC2_commemorative_coins	Maize
%E2%82%AC2_commemorative_coins	Miguel_de_Cervantes
%E2%82%AC2_commemorative_coins	Monaco
%E2%82%AC2_commemorative_coins	Munich
%E2%82%AC2_commemorative_coins	Netherlands
%E2%82%AC2_commemorative_coins	Numismatics
%E2%82%AC2_commemorative_coins	Nutrition
%E2%82%AC2_commemorative_coins	Pope_John_Paul_II
%E2%82%AC2_commemorative_coins	Portugal
%E2%82%AC2_commemorative_coins	Rice
%E2%82%AC2_commemorative_coins	San_Marino
%E2%82%AC2_commemorative_coins	Sanssouci
%E2%82%AC2_commemorative_coins	Soviet_Union
%E2%82%AC2_commemorative_coins	Spain
%E2%82%AC2_commemorative_coins	Suffrage
%E2%82%AC2_commemorative_coins	Turin
%E2%82%AC2_commemorative_coins	United_Kingdom
%E2%82%AC2_commemorative_coins	United_Nations
%E2%82%AC2_commemorative_coins	United_States
%E2%82%AC2_commemorative_coins	Vatican_City
%E2%82%AC2_commemorative_coins	Wheat
%E2%82%AC2_commemorative_coins	Zeus
15th_century	21st_century
15th_century	2nd_century
15th_century	3rd_century
15th_century	4th_century
15th_century	5th_century
15th_century	6th_century
15th_century	7th_century
15th_century	8th_century
15th_century	9th_century
15th_century	Art
15th_century	Aztec
15th_century	Baghdad
15th_century	Battle_of_Grunwald
15th_century	Beijing
15th_century	Byzantine_Empire
15th_century	Christopher_Columbus
15th_century	Europe
15th_century	France
15th_century	Henry_VII_of_England
15th_century	Henry_V_of_England
15th_century	Hundred_Years%27_War
15th_century	Inca_Empire
15th_century	India
15th_century	Indian_Ocean
15th_century	Jew
15th_century	Joan_of_Arc
15th_century	Johannes_Ockeghem
15th_century	Korea
15th_century	Leonardo_da_Vinci
15th_century	Lithuania
15th_century	North_America
15th_century	Ottoman_Empire
15th_century	Philosophy
15th_century	Plato
15th_century	Poland
15th_century	Portugal
15th_century	Renaissance
15th_century	Richard_III_of_England
15th_century	Spain
15th_century	Spanish_Inquisition
15th_century	Time
15th_century	Timur
15th_century	Vasco_da_Gama
15th_century	Wars_of_the_Roses
15th_century	Zheng_He
16_Cygni	16_Cygni_Bb
16_Cygni	Binary_star
16_Cygni	Day
16_Cygni	Extrasolar_planet
16_Cygni	Jupiter
16_Cygni	Red_dwarf
16_Cygni	Solar_System
16_Cygni	Sun
16_Cygni_Bb	16_Cygni
16_Cygni_Bb	Binary_star
16_Cygni_Bb	Day
16_Cygni_Bb	Earth
16_Cygni_Bb	Extrasolar_planet
16_Cygni_Bb	Jupiter
16_Cygni_Bb	Planet
16_Cygni_Bb	Season
16_Cygni_Bb	Solar_System
16_Cygni_Bb	Star
16_Cygni_Bb	Sun
16_Cygni_Bb	Water
16th_century	10th_century
16th_century	11th_century
16th_century	12th_century
16th_century	13th_century
16th_century	14th_century
16th_century	15th_century
16th_century	17th_century
16th_century	18th_century
16th_century	19th_century
16th_century	1st_century
16th_century	1st_century_BC
16th_century	20th_century
16th_century	21st_century
16th_century	2nd_century
16th_century	3rd_century
16th_century	4th_century
16th_century	5th_century
16th_century	6th_century
16th_century	7th_century
16th_century	8th_century
16th_century	9th_century
16th_century	Akbar
16th_century	Amazon_River
16th_century	Amsterdam
16th_century	Anglicanism
16th_century	Aztec
16th_century	Babur
16th_century	Baghdad
16th_century	Brazil
16th_century	British_East_India_Company
16th_century	Charles_V%2C_Holy_Roman_Emperor
16th_century	Edward_VI_of_England
16th_century	Egypt
16th_century	Elizabeth_I_of_England
16th_century	England
16th_century	Europe
16th_century	Ferdinand_Magellan
16th_century	Florida
16th_century	France
16th_century	Francis_Drake
16th_century	Galileo_Galilei
16th_century	Germany
16th_century	Grand_Canyon
16th_century	Heliocentrism
16th_century	Henry_VIII_of_England
16th_century	Henry_VII_of_England
16th_century	Hern%C3%A1n_Cort%C3%A9s
16th_century	Holy_Roman_Empire
16th_century	Hungary
16th_century	India
16th_century	Iran
16th_century	Ireland
16th_century	Italian_Renaissance
16th_century	Italy
16th_century	Ivan_IV_of_Russia
16th_century	Jacques_Cartier
16th_century	Japan
16th_century	John_Calvin
16th_century	Juan_Sebasti%C3%A1n_Elcano
16th_century	Leonardo_da_Vinci
16th_century	Martin_Luther
16th_century	Mary_I_of_England
16th_century	Mary_I_of_Scotland
16th_century	Miguel_de_Cervantes
16th_century	Ming_Dynasty
16th_century	Mona_Lisa
16th_century	Netherlands
16th_century	Nicolaus_Copernicus
16th_century	Opera
16th_century	Ottoman_Empire
16th_century	Pacific_Ocean
16th_century	Philip_II_of_Spain
16th_century	Polish-Lithuanian_Commonwealth
16th_century	Portugal
16th_century	Renaissance
16th_century	Roman_Catholic_Church
16th_century	Science
16th_century	Spain
16th_century	Spanish_Armada
16th_century	Spanish_conquest_of_the_Inca_Empire
16th_century	Suleiman_the_Magnificent
16th_century	Sun
16th_century	Sweden
16th_century	Textile
16th_century	Thomas_More
16th_century	Time
16th_century	Vasco_da_Gama
16th_century	Wars_of_the_Roses
16th_century	Watch
16th_century	William_Shakespeare
16th_century	William_the_Silent
1755_Lisbon_earthquake	Atlantic_Ocean
1755_Lisbon_earthquake	Barbados
1755_Lisbon_earthquake	Earthquake
1755_Lisbon_earthquake	England
1755_Lisbon_earthquake	Europe
1755_Lisbon_earthquake	Finland
1755_Lisbon_earthquake	Geology
1755_Lisbon_earthquake	Gottfried_Leibniz
1755_Lisbon_earthquake	Immanuel_Kant
1755_Lisbon_earthquake	Ireland
1755_Lisbon_earthquake	Jean-Jacques_Rousseau
1755_Lisbon_earthquake	Lisbon
1755_Lisbon_earthquake	Martinique
1755_Lisbon_earthquake	Morocco
1755_Lisbon_earthquake	North_Africa
1755_Lisbon_earthquake	Peter_Paul_Rubens
1755_Lisbon_earthquake	Philosophy
1755_Lisbon_earthquake	Portugal
1755_Lisbon_earthquake	Ren%C3%A9_Descartes
1755_Lisbon_earthquake	The_Holocaust
1755_Lisbon_earthquake	Tsunami
1755_Lisbon_earthquake	Vasco_da_Gama
1755_Lisbon_earthquake	Voltaire
17th_century	10th_century
17th_century	11th_century
17th_century	12th_century
17th_century	13th_century
17th_century	14th_century
17th_century	15th_century
17th_century	16th_century
17th_century	18th_century
17th_century	19th_century
17th_century	1st_century
17th_century	1st_century_BC
17th_century	20th_century
17th_century	21st_century
17th_century	2nd_century
17th_century	3rd_century
17th_century	4th_century
17th_century	5th_century
17th_century	6th_century
17th_century	7th_century
17th_century	8th_century
17th_century	9th_century
17th_century	Armand_Jean_du_Plessis%2C_Cardinal_Richelieu
17th_century	Bacteria
17th_century	Banknote
17th_century	Baruch_Spinoza
17th_century	Bible
17th_century	Blaise_Pascal
17th_century	British_East_India_Company
17th_century	Calculus
17th_century	Canada
17th_century	Cape_Town
17th_century	Charles_II_of_England
17th_century	Charles_I_of_England
17th_century	China
17th_century	Constitutional_monarchy
17th_century	Elizabeth_I_of_England
17th_century	England
17th_century	Finance
17th_century	France
17th_century	Galileo_Galilei
17th_century	Glorious_Revolution
17th_century	Gottfried_Leibniz
17th_century	Henry_Purcell
17th_century	Holy_Roman_Empire
17th_century	Hungary
17th_century	India
17th_century	Ireland
17th_century	Isaac_Newton
17th_century	Italy
17th_century	James_II_of_England
17th_century	James_I_of_England
17th_century	Japan
17th_century	Johann_Sebastian_Bach
17th_century	Johannes_Kepler
17th_century	John_Locke
17th_century	John_Milton
17th_century	Louis_XIV_of_France
17th_century	Mary_II_of_England
17th_century	Ming_Dynasty
17th_century	Mississippi_River
17th_century	Netherlands
17th_century	New_York_City
17th_century	New_Zealand
17th_century	North_America
17th_century	Oliver_Cromwell
17th_century	Ottoman_Empire
17th_century	Persian_Empire
17th_century	Peter_I_of_Russia
17th_century	Philosophiae_Naturalis_Principia_Mathematica
17th_century	Poland
17th_century	Portugal
17th_century	Qing_Dynasty
17th_century	Ren%C3%A9_Descartes
17th_century	Russia
17th_century	Scotland
17th_century	South_Africa
17th_century	Spain
17th_century	Speed_of_light
17th_century	Sweden
17th_century	Taiwan
17th_century	Tea
17th_century	Telescope
17th_century	Thomas_Hobbes
17th_century	Time
17th_century	William_Harvey
17th_century	William_III_of_England
17th_century	William_Shakespeare
1896_Summer_Olympics	Athens
1896_Summer_Olympics	Athletics_%28track_and_field%29
1896_Summer_Olympics	Australia
1896_Summer_Olympics	Austria
1896_Summer_Olympics	British_Empire
1896_Summer_Olympics	Christianity
1896_Summer_Olympics	Cricket
1896_Summer_Olympics	Cyprus
1896_Summer_Olympics	Eastern_Orthodox_Church
1896_Summer_Olympics	Egypt
1896_Summer_Olympics	Europe
1896_Summer_Olympics	Football_%28soccer%29
1896_Summer_Olympics	France
1896_Summer_Olympics	Germany
1896_Summer_Olympics	Greece
1896_Summer_Olympics	Greek_War_of_Independence
1896_Summer_Olympics	Hungary
1896_Summer_Olympics	London
1896_Summer_Olympics	Olympic_Games
1896_Summer_Olympics	Paris
1896_Summer_Olympics	Roman_Catholic_Church
1896_Summer_Olympics	Roman_Empire
1896_Summer_Olympics	Serbia
1896_Summer_Olympics	Slovakia
1896_Summer_Olympics	Sport
1896_Summer_Olympics	Switzerland
1896_Summer_Olympics	United_States
18th_century	10th_century
18th_century	11th_century
18th_century	12th_century
18th_century	13th_century
18th_century	14th_century
18th_century	15th_century
18th_century	16th_century
18th_century	1755_Lisbon_earthquake
18th_century	17th_century
18th_century	19th_century
18th_century	1st_century
18th_century	1st_century_BC
18th_century	20th_century
18th_century	21st_century
18th_century	2nd_century
18th_century	3rd_century
18th_century	4th_century
18th_century	5th_century
18th_century	6th_century
18th_century	7th_century
18th_century	8th_century
18th_century	9th_century
18th_century	Adam_Smith
18th_century	Afghanistan
18th_century	Alexander_Hamilton
18th_century	American_Revolutionary_War
18th_century	Anne_of_Great_Britain
18th_century	Antoine_Lavoisier
18th_century	Antonio_Vivaldi
18th_century	Australia
18th_century	Benjamin_Franklin
18th_century	California
18th_century	Capital
18th_century	Carl_Friedrich_Gauss
18th_century	Carolus_Linnaeus
18th_century	Catherine_II_of_Russia
18th_century	China
18th_century	David_Hume
18th_century	Delhi
18th_century	Edmond_Halley
18th_century	Edmund_Burke
18th_century	Edward_Jenner
18th_century	Emanuel_Swedenborg
18th_century	England
18th_century	France
18th_century	Frederick_II_of_Prussia
18th_century	Freetown
18th_century	French_Revolution
18th_century	George_III_of_the_United_Kingdom
18th_century	George_Washington
18th_century	Glorious_Revolution
18th_century	Immanuel_Kant
18th_century	India
18th_century	Industrial_Revolution
18th_century	James_Cook
18th_century	James_Watt
18th_century	Jean-Jacques_Rousseau
18th_century	Johann_Sebastian_Bach
18th_century	Joseph_Haydn
18th_century	Leonhard_Euler
18th_century	London
18th_century	Louis_XIV_of_France
18th_century	Napoleon_I_of_France
18th_century	Napoleonic_Wars
18th_century	Nepal
18th_century	Netherlands
18th_century	North_America
18th_century	Pacific_Ocean
18th_century	Persian_Empire
18th_century	Peter_I_of_Russia
18th_century	Photosynthesis
18th_century	Piano
18th_century	Polish-Lithuanian_Commonwealth
18th_century	President_of_the_United_States
18th_century	Prime_Minister_of_the_United_Kingdom
18th_century	Russia
18th_century	Saint_Petersburg
18th_century	Scotland
18th_century	Sierra_Leone
18th_century	Smallpox
18th_century	South_Africa
18th_century	South_America
18th_century	Spain
18th_century	Steam_engine
18th_century	Steel
18th_century	Sydney
18th_century	Thomas_Gainsborough
18th_century	Thomas_Jefferson
18th_century	Time
18th_century	United_States
18th_century	Vitus_Bering
18th_century	Voltaire
18th_century	War_of_the_Spanish_Succession
18th_century	William_Hogarth
18th_century	Wolfgang_Amadeus_Mozart
1928_Okeechobee_Hurricane	Africa
1928_Okeechobee_Hurricane	Atlantic_Ocean
1928_Okeechobee_Hurricane	Dominica
1928_Okeechobee_Hurricane	Florida
1928_Okeechobee_Hurricane	Galveston_Hurricane_of_1900
1928_Okeechobee_Hurricane	Guadeloupe
1928_Okeechobee_Hurricane	Latin_America
1928_Okeechobee_Hurricane	Martinique
1928_Okeechobee_Hurricane	Montserrat
1928_Okeechobee_Hurricane	Norfolk
1928_Okeechobee_Hurricane	Paris
1928_Okeechobee_Hurricane	Puerto_Rico
1928_Okeechobee_Hurricane	The_Bahamas
1928_Okeechobee_Hurricane	Toronto
1928_Okeechobee_Hurricane	Tropical_cyclone
1928_Okeechobee_Hurricane	United_States
1928_Okeechobee_Hurricane	United_States_Virgin_Islands
1973_oil_crisis	Algeria
1973_oil_crisis	Arab-Israeli_conflict
